APP_NAME,APP_VERSION_NAME,COUNTRY,LAST_MODIFIED_AT,REVIEW_TEXT,RATING,DEVELOPER_REPLY_DATE_AND_TIME,DEVELOPER_REPLY_TEXT,REVIEW_LINK,OS,Primary Topic,Secondary Topic,Other,REVIEW ENGLISH,MONTH,DATE,TIME
Wallbox,2.5.0(2021-05-27),PL,2021-06-04T17:25:26.000Z,Schedule time sessions is nice but I cant activate or deactivate it. Only set it up or delete. Is annoying me. Why not to add simple button to active each Schedule? Also only 1 price per kwh? Why? I have different price on day znd cheaper 4hrs at night. Why cant set it up? That's why only 2 🌟 If you update the 2 things then I change to 5 🌟,2,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOGhgOHcsjutzMY-vU2ktvnWPYmvJ3q4qhTF5hIl6IelRpBZC-GJQQ8HpuI9259l0BXdqui0KLPiEjwb4A&corpus=PUBLIC_REVIEWS,Android,Schedules,,,Schedule time sessions is nice but I cant activate or deactivate it. Only set it up or delete. Is annoying me. Why not to add simple button to active each Schedule? Also only 1 price per kwh? Why? I have different price on day znd cheaper 4hrs at night. Why cant set it up? That's why only 2 🌟 If you update the 2 things then I change to 5 🌟,6,2021-06-04,17:25:26.000Z
Wallbox,2.5.0(2021-05-27),NL,2021-06-06T21:48:05.000Z,"Updated, from 3 to 1 star. After 1,5 year, no improvement at all. The connection is still very slow and buggy, no extra features were added to the app. The biggest problem: charging my car (Model 3) stops multiple times a night. Sometimes my car doesn't charge at all. Last week, one successful charge. Customer support is slow. There is a firmware update available now, but it fails to install all the time. My advice: pick another charger if you can! This one might look fancy but it's rubbish!",1,2020-04-09T13:41:04.000Z,"Hi Karsten, Apologies for the delay in our answer. Thanks for your feedback, we appreciate your time in providing this solution. Regarding the speed and timing, Wallbox Service Support would be happy to help you further, please contact us, service@wallbox.com, we are available from 8 to 20 from Monday to Friday. Thank you Wallbox Service Support",http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOEOlLgqdZjHZJ7hRuGYq0WUrgWOzlWTt06PG_tXW-KfDhH2cOl4BtdovcN6Nbupp6bVDcISfwcBfTwKsQ&corpus=PUBLIC_REVIEWS,Android,Connectivity,Charging,,"Updated, from 3 to 1 star. After 1,5 year, no improvement at all. The connection is still very slow and buggy, no extra features were added to the app. The biggest problem: charging my car (Model 3) stops multiple times a night. Sometimes my car doesn't charge at all. Last week, one successful charge. Customer support is slow. There is a firmware update available now, but it fails to install all the time. My advice: pick another charger if you can! This one might look fancy but it's rubbish!",6,2021-06-06,21:48:05.000Z
Wallbox,2.5.0(2021-05-27),EN,2021-06-08T16:15:30.000Z,The registration process is a nightmare,2,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOEy81h1kIfvsR0-21ftB2RXZd-4x0jaDvBpMVl-LZsncYkxojSFqZ4U06msiKezkReoaIF1EsiRRQ1wcA&corpus=PUBLIC_REVIEWS,Android,First Linkage,,,The registration process is a nightmare,6,2021-06-08,16:15:30.000Z
Wallbox,2.5.0(2021-05-27),EN,2021-06-13T08:53:30.000Z,"We have just bought the wallbox and installed. The app is simply unable to connect from any one of 5 devices, customer support is non existence. Avoid this product.",1,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOF6xFRm3pEtjTUnd3KxK9aj5tnEDKBTDqClG8TApeClO09gTPVwDJ0xhF3cXiFWOLeqrg39-kplp7xQoA&corpus=PUBLIC_REVIEWS,Android,Connectivity,,,"We have just bought the wallbox and installed. The app is simply unable to connect from any one of 5 devices, customer support is non existence. Avoid this product.",6,2021-06-13,08:53:30.000Z
Wallbox,2.6.0(2021-06-14),EN,2021-06-16T20:20:43.000Z,App is extremely slow to connect to charger via Bluetooth or internet. Has not carried out scheduled car charges due to this issue.,1,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOGed0Hgoyq7HvwviVokUzdgXQUKr9mhlBumgjdJfw5s4paVgDQUB3omj3Ex_EkQgsQ_Mqrmrny2x-1jaA&corpus=PUBLIC_REVIEWS,Android,Connectivity,Schedules,,App is extremely slow to connect to charger via Bluetooth or internet. Has not carried out scheduled car charges due to this issue.,6,2021-06-16,20:20:43.000Z
Wallbox,2.6.0(2021-06-14),FR,2021-06-17T05:38:01.000Z,impossible de se connecter ce matin l application reste figé,1,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOHxPBM9kMikf2N56HcRojqD7pEwlcSo4C3WOmghnDUo07TFFkz6ASmtv2M9Eu6E6sIwb8s56GUuKB4sEQ&corpus=PUBLIC_REVIEWS,Android,Connectivity,,,Can not connect this morning the application remains frozen,6,2021-06-17,05:38:01.000Z
Wallbox,2.5.0(2021-05-27),SV,2021-06-17T12:10:37.000Z,Går inte att göra uppdatering som kom o när jag logga ut från appen så kommer jag inte in igen,1,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOHzLpMKqcoR2Vb84cNiHwR6QQJ6suv7Qo5wM-I4FbYncgMhYHWCnijOj0_TRnvy-SL5_BYtpnyXu3w7pA&corpus=PUBLIC_REVIEWS,Android,Update Process,,,Can't do update that came o when I log out of the app then I will not in again,6,2021-06-17,12:10:37.000Z
Wallbox,2.6.0(2021-06-14),DE,2021-06-17T17:45:52.000Z,"Ich habe mir die Wallbox Pulsar Plus gekauft, leider ohne vorher die Erfahrungen mit der App zu lesen. Ich kann mich bei der App leider nicht anmelden, denn jedesmal erscheint beim Passwort die Meldung "" Zahlenwerte ist ungültig"". Was bedeutet das? Die Meldung kommt auf dem Handy und auch auf dem Tablet. Was kann ich jetzt tun?",2,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOFdobXkfP3gK8NZnqR3qrh4lNlrFRVMIJX5ei3q39TAkVsy7ysX_jCh5vKgjT-_9aTJQdKSB063sCYbGg&corpus=PUBLIC_REVIEWS,Android,First Linkage,,WLAN Password,"I bought the Wallbox Pulsar Plus, unfortunately without first reading the experience with the app. Unfortunately, I can not log in to the app, because each time the message ""Number values ​​is invalid"" at the password. What does that mean? The message comes on the phone and also on the tablet. What can I do now?",6,2021-06-17,17:45:52.000Z
Wallbox,2.6.0(2021-06-14),ES,2021-06-19T21:42:44.000Z,"En general no tengo ninguna queja. Pero si dos observaciones: 1.- poder apagar el LED,o al menos que sea menos luminoso. 2.- que el firmware pueda ser descargado sin tener que estar conectado al wallbox,y una vez conectado, que se instale. Somos muchos los que en el garaje comunitario no tenemos cobertura. He visto que en una actualización de febrero, creo recordar, la app dice funcionar así, pero no es cierto.",3,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOEITZausYAeq7XKHGl8adWqg872LqTAs47yVJ6wOEu5pPpaB6x80trD3lTr4CJoaPqJtnJvEfCjwNrZlw&corpus=PUBLIC_REVIEWS,Android,Halo Dimming,Update Process,,"In general I do not have any complaints. But if two observations: 1.- To be able to turn off the LED, or at least it is less luminous. 2.- That the firmware can be downloaded without having to be connected to the Wallbox, and once connected, to be installed. We are many who in the community garage do not have coverage. I have seen that in an update of February, I think I remember, the APP says to work like that, but it is not true.",6,2021-06-19,21:42:44.000Z
Wallbox,2.6.0(2021-06-14),ES,2021-06-20T20:07:03.000Z,"La app es sencilla y funciona bien salvo un gran defecto, y es que cada vez que se actualiza, la estación de carga deja de funcionar. Los primeros días no sabía por qué lo hacía y comprobé que actualizando la app y apagando la estación, volvía a funcionar. No sé si tengo que hacerlo así pero es la única manera con la que consigo que vuelva a funcionar.",2,,,http://play.google.com/console/developers/8921222827880178743/app/4972514835925816075/user-feedback/review-details?reviewId=gp:AOqpTOGa37rzNAnIz2fZrPTFA5E3NCrX9COKNsddy4K3hFK-9bPNU3n9M4krupNe8620g_Uu9nRmLOrccTtrFg&corpus=PUBLIC_REVIEWS,Android,Post Update,Charging,,"The app is simple and works well except a big flaw, and is that each time it is updated, the loading station stops working. The first days did not know why he did it and checked that updating the app and shutting down the station, it returned to work. I do not know if I have to do it that way but it is the only way I get to work again.",6,2021-06-20,20:07:03.000Z
